Diffusion Energy,Rotation Energy,Coupling Energy,Experimental File,Wasserstein Distance
0.5,0.6,0.4,STM02_graph_metrics.csv,0.3333333333333333
0.5,0.6,0.4,STM114_graph_metrics.csv,0.21269841269841272
0.5,0.6,0.4,STM123_graph_metrics.csv,0.17777777777777776
0.5,0.6,0.4,STM131_graph_metrics.csv,0.3
0.5,0.6,0.4,STM194_graph_metrics.csv,0.2912280701754386
0.5,0.6,0.4,STM20_graph_metrics.csv,0.3306122448979592
0.5,0.6,0.4,STM31_graph_metrics.csv,0.28780487804878047
0.5,0.6,0.4,STM57_b_graph_metrics.csv,0.22424242424242424
0.5,0.6,0.4,STM57_c_graph_metrics.csv,0.2594594594594594
0.5,0.6,0.4,STM57_graph_metrics.csv,0.16363636363636364
0.5,0.6,0.4,STM79_graph_metrics.csv,0.2324324324324324
0.5,0.6,0.4,STM86_graph_metrics.csv,0.4222222222222222
0.5,0.6,0.4,TestForSkeletonization_2_graph_metrics.csv,0.2761904761904762
0.5,0.6,0.6,STM02_graph_metrics.csv,0.14444444444444446
0.5,0.6,0.6,STM114_graph_metrics.csv,0.19523809523809524
0.5,0.6,0.6,STM123_graph_metrics.csv,0.16666666666666666
0.5,0.6,0.6,STM131_graph_metrics.csv,0.13508771929824565
0.5,0.6,0.6,STM194_graph_metrics.csv,0.17017543859649123
0.5,0.6,0.6,STM20_graph_metrics.csv,0.07278911564625852
0.5,0.6,0.6,STM31_graph_metrics.csv,0.13252032520325208
0.5,0.6,0.6,STM57_b_graph_metrics.csv,0.1
0.5,0.6,0.6,STM57_c_graph_metrics.csv,0.19909909909909915
0.5,0.6,0.6,STM57_graph_metrics.csv,0.17575757575757578
0.5,0.6,0.6,STM79_graph_metrics.csv,0.17207207207207212
0.5,0.6,0.6,STM86_graph_metrics.csv,0.1222222222222222
0.5,0.6,0.6,TestForSkeletonization_2_graph_metrics.csv,0.14761904761904765
0.5,0.6,0.8,STM02_graph_metrics.csv,0.11111111111111108
0.5,0.6,0.8,STM114_graph_metrics.csv,0.16190476190476186
0.5,0.6,0.8,STM123_graph_metrics.csv,0.13333333333333328
