Diffusion Energy,Rotation Energy,Coupling Energy,Experimental File,Wasserstein Distance
0.8,1.35,0.6,STM79_graph_metrics.csv,0.2707657657657658
0.8,1.35,0.6,STM86_graph_metrics.csv,0.4605555555555556
0.8,1.35,0.6,TestForSkeletonization_2_graph_metrics.csv,0.31452380952380954
0.8,1.35,0.8999999999999999,STM02_graph_metrics.csv,0.1333333333333333
0.8,1.35,0.8999999999999999,STM114_graph_metrics.csv,0.14523809523809522
0.8,1.35,0.8999999999999999,STM123_graph_metrics.csv,0.06666666666666665
0.8,1.35,0.8999999999999999,STM131_graph_metrics.csv,0.09999999999999996
0.8,1.35,0.8999999999999999,STM194_graph_metrics.csv,0.12017543859649121
0.8,1.35,0.8999999999999999,STM20_graph_metrics.csv,0.1306122448979592
0.8,1.35,0.8999999999999999,STM31_graph_metrics.csv,0.08780487804878047
0.8,1.35,0.8999999999999999,STM57_b_graph_metrics.csv,0.04999999999999999
0.8,1.35,0.8999999999999999,STM57_c_graph_metrics.csv,0.14909909909909913
0.8,1.35,0.8999999999999999,STM57_graph_metrics.csv,0.12575757575757573
0.8,1.35,0.8999999999999999,STM79_graph_metrics.csv,0.1220720720720721
0.8,1.35,0.8999999999999999,STM86_graph_metrics.csv,0.2222222222222222
0.8,1.35,0.8999999999999999,TestForSkeletonization_2_graph_metrics.csv,0.09761904761904763
0.8,1.35,1.2,STM02_graph_metrics.csv,0.09944444444444445
0.8,1.35,1.2,STM114_graph_metrics.csv,0.15023809523809523
0.8,1.35,1.2,STM123_graph_metrics.csv,0.1283333333333333
0.8,1.35,1.2,STM131_graph_metrics.csv,0.09008771929824565
0.8,1.35,1.2,STM194_graph_metrics.csv,0.12517543859649122
0.8,1.35,1.2,STM20_graph_metrics.csv,0.06894557823129253
0.8,1.35,1.2,STM31_graph_metrics.csv,0.08752032520325205
0.8,1.35,1.2,STM57_b_graph_metrics.csv,0.05499999999999999
0.8,1.35,1.2,STM57_c_graph_metrics.csv,0.15409909909909913
0.8,1.35,1.2,STM57_graph_metrics.csv,0.13075757575757574
0.8,1.35,1.2,STM79_graph_metrics.csv,0.1270720720720721
0.8,1.35,1.2,STM86_graph_metrics.csv,0.16055555555555556
0.8,1.35,1.2,TestForSkeletonization_2_graph_metrics.csv,0.10261904761904764
0.8,1.6,0.3,STM02_graph_metrics.csv,0.3066666666666667
0.8,1.6,0.3,STM114_graph_metrics.csv,0.1860317460317461
0.8,1.6,0.3,STM123_graph_metrics.csv,0.10666666666666674
0.8,1.6,0.3,STM131_graph_metrics.csv,0.2733333333333334
0.8,1.6,0.3,STM194_graph_metrics.csv,0.264561403508772
0.8,1.6,0.3,STM20_graph_metrics.csv,0.3039455782312926
0.8,1.6,0.3,STM31_graph_metrics.csv,0.26113821138211385
0.8,1.6,0.3,STM57_b_graph_metrics.csv,0.19757575757575763
0.8,1.6,0.3,STM57_c_graph_metrics.csv,0.2327927927927928
0.8,1.6,0.3,STM57_graph_metrics.csv,0.13696969696969702
0.8,1.6,0.3,STM79_graph_metrics.csv,0.20576576576576577
0.8,1.6,0.3,STM86_graph_metrics.csv,0.3955555555555556
0.8,1.6,0.3,TestForSkeletonization_2_graph_metrics.csv,0.24952380952380956
0.8,1.6,0.6,STM02_graph_metrics.csv,0.31333333333333335
0.8,1.6,0.6,STM114_graph_metrics.csv,0.19269841269841273
0.8,1.6,0.6,STM123_graph_metrics.csv,0.11333333333333337
0.8,1.6,0.6,STM131_graph_metrics.csv,0.27999999999999997
0.8,1.6,0.6,STM194_graph_metrics.csv,0.2712280701754386
0.8,1.6,0.6,STM20_graph_metrics.csv,0.3106122448979592
0.8,1.6,0.6,STM31_graph_metrics.csv,0.2678048780487805
0.8,1.6,0.6,STM57_b_graph_metrics.csv,0.20424242424242425
0.8,1.6,0.6,STM57_c_graph_metrics.csv,0.23945945945945943
0.8,1.6,0.6,STM57_graph_metrics.csv,0.14363636363636367
0.8,1.6,0.6,STM79_graph_metrics.csv,0.2124324324324324
0.8,1.6,0.6,STM86_graph_metrics.csv,0.40222222222222226
0.8,1.6,0.6,TestForSkeletonization_2_graph_metrics.csv,0.2561904761904762
0.8,1.6,0.8999999999999999,STM02_graph_metrics.csv,0.12
0.8,1.6,0.8999999999999999,STM114_graph_metrics.csv,0.14523809523809522
0.8,1.6,0.8999999999999999,STM123_graph_metrics.csv,0.07999999999999996
0.8,1.6,0.8999999999999999,STM131_graph_metrics.csv,0.08666666666666666
