Diffusion Energy,Rotation Energy,Coupling Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.8,1.1,0.3,"{3: 26.4, 2: 19.9, 1: 13.7}",8.359907512855012,0.48212692987462313,1.0792594191040574,0.06224231900541754
0.8,1.1,0.6,"{3: 26.4, 2: 18.6, 1: 15.0}",8.32205290499663,0.5687382739141874,1.0743724102436336,0.07342379544067998
0.8,1.1,0.8999999999999999,"{3: 34.5, 2: 17.4, 1: 8.1}",7.358312333668605,0.3280254735406656,0.9499540374830382,0.042347906538493324
0.8,1.1,1.2,"{3: 35.7, 2: 17.6, 1: 6.7}",7.05624964647325,0.12216488848871798,0.9109579122490958,0.015771419286936365
0.8,1.35,0.3,"{3: 25.9, 2: 18.8, 1: 15.3}",8.415353667188894,0.5418234547621723,1.0864174868489367,0.06994910722928205
0.8,1.35,0.6,"{3: 23.8, 2: 22.1, 1: 14.1}",8.446675648567629,0.3261363707700288,1.0904611372572721,0.04210402441949496
0.8,1.35,0.8999999999999999,"{3: 33.5, 2: 17.0, 1: 9.5}",7.418843041998656,0.42395771063910515,0.9577685183262522,0.05473270509338258
0.8,1.35,1.2,"{3: 35.5, 2: 16.7, 1: 7.8}",7.168258441686788,0.3176542877397068,0.9254181855321221,0.04100899220890875
0.8,1.6,0.3,"{3: 27.3, 2: 19.0, 1: 13.7}",8.448117535593237,0.6501103276639538,1.0906472840718489,0.08392888240799802
0.8,1.6,0.6,"{3: 27.1, 2: 19.0, 1: 13.9}",8.522994693533569,0.7807441668040999,1.1003138835956565,0.10079363852269546
0.8,1.6,0.8999999999999999,"{3: 33.9, 2: 17.0, 1: 9.1}",7.436940303731849,0.3775682820599637,0.9601048647697393,0.04874385561581279
0.8,1.6,1.2,"{2: 17.0, 3: 34.4, 1: 8.6}",7.467063835452109,0.37198702121161115,0.9639937959924568,0.04802331793859582
1.15,1.1,0.3,"{3: 21.8, 2: 24.6, 1: 13.6}",8.714554659087929,0.37138387506426934,1.1250441688087267,0.04794545210579636
1.15,1.1,0.6,"{3: 21.1, 2: 25.6, 1: 13.3}",9.227520626920278,0.46467045883763725,1.1912677904949218,0.05998869828509093
1.15,1.1,0.8999999999999999,"{3: 22.6, 2: 24.2, 1: 13.2}",8.91724383654026,0.7189198098662061,1.1512112290997052,0.09281214836234733
1.15,1.1,1.2,"{2: 15.9, 3: 33.3, 1: 10.8}",7.488989964802481,0.3223634532272773,0.9668244471198161,0.04161694285917196
1.15,1.35,0.3,"{3: 25.8, 2: 20.6, 1: 13.6}",8.447678550392894,0.7900101253279517,1.0905906113261765,0.10198986862434638
1.15,1.35,0.6,"{3: 25.3, 2: 20.7, 1: 14.0}",8.576372752516988,0.8111359448300245,1.1072049613788455,0.10471720019456343
1.15,1.35,0.8999999999999999,"{3: 25.6, 2: 20.1, 1: 14.3}",8.488766065983475,0.5319154165285845,1.0958949867801548,0.06866998499353963
1.15,1.35,1.2,"{3: 32.0, 2: 18.8, 1: 9.2}",7.673894031284114,0.38971550443859215,0.9906954594574623,0.050312055281649684
1.15,1.6,0.3,"{3: 26.0, 2: 20.6, 1: 13.4}",8.540904627494806,0.6835798983082733,1.1026260461277748,0.08824978539833674
1.15,1.6,0.6,"{3: 24.7, 2: 20.5, 1: 14.8}",8.461566152625213,0.5528797541284568,1.0923834930649936,0.07137646933982544
1.15,1.6,0.8999999999999999,"{3: 28.0, 2: 19.5, 1: 12.5}",8.104333574755634,0.5187052022742089,1.0462649655712732,0.06696455366663868
1.15,1.6,1.2,"{3: 33.6, 2: 15.6, 1: 10.8}",7.540502473843757,0.34687525417097137,0.9734746834410899,0.044781402753854546
1.5,1.1,0.3,"{3: 19.5, 2: 25.1, 1: 15.4}",9.49744166600885,0.4521450365672087,1.2261144468009566,0.058371673223171446
1.5,1.1,0.6,"{2: 24.3, 3: 19.8, 1: 15.9}",9.16714873331447,0.5939001891094334,1.1834738125444455,0.07667218472434237
1.5,1.1,0.8999999999999999,"{3: 19.6, 2: 25.8, 1: 14.6}",9.26347374243269,0.47943693935243753,1.1959093177490503,0.06189504272228817
1.5,1.1,1.2,"{3: 20.6, 2: 24.7, 1: 14.7}",9.124889384929315,0.8241691719031131,1.178018154127202,0.1063997825746105
1.5,1.35,0.3,"{2: 25.0, 3: 21.0, 1: 14.0}",9.223712877156109,0.6995305440127668,1.1907762121141503,0.090309004904162
1.5,1.35,0.6,"{3: 19.5, 2: 24.7, 1: 15.8}",9.48124084602935,0.6688836617215335,1.2240229299351064,0.08635250941325781
1.5,1.35,0.8999999999999999,"{3: 19.1, 2: 25.2, 1: 15.7}",8.916898552432063,0.4696076199830362,1.151166653113013,0.060626083048213375
1.5,1.35,1.2,"{3: 19.5, 2: 25.9, 1: 14.6}",9.04325585677891,0.7226657118309942,1.1674793109599135,0.0932957422265523
1.5,1.6,0.3,"{3: 22.8, 2: 23.1, 1: 14.1}",8.710335540876596,0.6245214068102188,1.1244994829897879,0.08062536693086685
1.5,1.6,0.6,"{3: 24.1, 2: 21.7, 1: 14.2}",8.934224176817136,0.6943818374309318,1.1534033816032143,0.08964430974263012
1.5,1.6,0.8999999999999999,"{2: 24.0, 3: 23.7, 1: 12.3}",8.58290404596317,0.496887338013302,1.1080481477370538,0.06414787950222847
1.5,1.6,1.2,"{3: 24.1, 2: 22.6, 1: 13.3}",8.383058826584602,0.46784641238076624,1.0822482408546419,0.06039871212445317
