Diffusion Energy,Rotation Energy,Coupling Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.5,0.9,0.6,"{3: 35.0, 2: 17.5, 1: 7.5}",7.092476113765051,0.032986834157857636,0.9156347290661981,0.004258581977916287
0.5,0.9,0.6444444444444444,"{3: 33.0, 2: 19.0, 1: 8.0}",7.203976761170903,0.08297885981528585,0.9300294007493384,0.010712524738396068
0.5,0.9,0.6888888888888889,"{3: 36.0, 2: 13.0, 1: 11.0}",7.215456610460419,0.41762198790923843,0.9315114429198472,0.05391476680608387
0.5,0.9,0.7333333333333333,"{3: 35.5, 2: 16.5, 1: 8.0}",6.958736631618777,0.0035027909935902986,0.8983690361634339,0.0004522083727807047
0.5,0.9,0.7777777777777778,"{3: 32.0, 2: 17.5, 1: 10.5}",7.374461631072623,0.2338306287653964,0.952038902812995,0.03018740436805295
0.5,0.9,0.8222222222222222,"{3: 36.0, 2: 13.5, 1: 10.5}",7.2282954196656455,0.15748295652614397,0.9331689260610798,0.020330962264575425
0.5,0.9,0.8666666666666667,"{3: 34.5, 2: 18.0, 1: 7.5}",7.097157741473964,0.036389763099058836,0.9162391246045234,0.0046978982151695825
0.5,0.9,0.9111111111111111,"{3: 36.0, 2: 17.0, 1: 7.0}",7.227215506525025,0.03528329821765741,0.933029509874114,0.004555054213208565
0.5,0.9,0.9555555555555555,"{3: 35.0, 2: 17.0, 1: 8.0}",7.22915264534372,0.28021187873923115,0.9332795934202507,0.036175197992217856
0.5,0.9,1.0,"{3: 33.0, 2: 18.5, 1: 8.5}",7.3961483744895276,0.16043448050812303,0.9548386493492332,0.02071200237217996
0.5,1.1,0.6,"{3: 32.0, 2: 17.0, 1: 11.0}",7.377966033005765,0.09009559264010569,0.9524913191571776,0.011631290995393895
0.5,1.1,0.6444444444444444,"{3: 33.5, 1: 9.5, 2: 17.0}",7.254917154225851,0.4261381841447256,0.9366057772143741,0.05501420301251969
0.5,1.1,0.6888888888888889,"{3: 36.0, 2: 15.0, 1: 9.0}",6.8811599019770515,0.013926915621565339,0.8883539234315794,0.0017979570755452534
0.5,1.1,0.7333333333333333,"{3: 33.5, 2: 16.0, 1: 10.5}",7.493809781071002,0.15012390664648212,0.9674466827244746,0.019380913010314083
0.5,1.1,0.7777777777777778,"{3: 33.5, 2: 18.0, 1: 8.5}",7.430728775502638,0.20164015920928025,0.9593029599235315,0.026031632618138456
0.5,1.1,0.8222222222222222,"{3: 36.5, 2: 13.5, 1: 10.0}",7.162511062170122,0.07704079627464688,0.9246762020270427,0.009945924031675546
0.5,1.1,0.8666666666666667,"{3: 31.0, 2: 19.0, 1: 10.0}",7.829850913482447,0.5210472418060004,1.0108294063734817,0.06726690967006499
0.5,1.1,0.9111111111111111,"{3: 35.0, 2: 17.0, 1: 8.0}",7.071748981689497,0.19459275416508737,0.9129588678214228,0.025121816539133923
0.5,1.1,0.9555555555555555,"{3: 32.5, 2: 18.0, 1: 9.5}",7.325627394546429,0.3336081344661679,0.9457344299866384,0.04306862496489311
0.5,1.1,1.0,"{3: 34.0, 2: 16.5, 1: 9.5}",7.198756154703428,0.0706622845146927,0.929355423352484,0.00912246170434583
0.5,1.3,0.6,"{3: 32.5, 1: 11.0, 2: 16.5}",7.335356724206303,0.09810740020358644,0.9469904810447201,0.012665610904273206
0.5,1.3,0.6444444444444444,"{3: 38.5, 2: 14.5, 1: 7.0}",7.012599763856466,0.015814787883571935,0.9053227366344718,0.0020416803365625458
0.5,1.3,0.6888888888888889,"{3: 35.0, 2: 14.0, 1: 11.0}",7.317465524823088,0.14084453100650807,0.9446807371362246,0.01818295076641996
0.5,1.3,0.7333333333333333,"{3: 36.0, 2: 13.0, 1: 11.0}",7.263215619197748,0.016798880177312014,0.937677104435549,0.002168726105388763
0.5,1.3,0.7777777777777778,"{3: 36.5, 2: 14.0, 1: 9.5}",7.126498420176253,0.18549705149752205,0.920026989937203,0.02394756637401607
0.5,1.3,0.8222222222222222,"{3: 36.0, 2: 16.0, 1: 8.0}",7.102143604241849,0.28814657198863936,0.9168827967200734,0.03719956248595857
0.5,1.3,0.8666666666666667,"{3: 35.5, 2: 18.0, 1: 6.5}",6.987976092856777,0.1859543345851966,0.9021438343776624,0.02400660136678495
0.5,1.3,0.9111111111111111,"{3: 33.5, 2: 14.0, 1: 12.5}",7.381057532682945,0.2733348156502795,0.9528904300493285,0.03528737296507356
0.5,1.3,0.9555555555555555,"{2: 20.0, 3: 32.0, 1: 8.0}",7.2800700050629,0.10683657948850467,0.9398529962944252,0.013792543104158117
0.5,1.3,1.0,"{3: 32.0, 2: 19.5, 1: 8.5}",7.686892116673048,0.3835443302884447,0.9923735050655931,0.04951536012464741
0.5555555555555556,0.9,0.6,"{3: 34.0, 2: 16.0, 1: 10.0}",8.02387656387378,0.19196179870371258,1.0358780101302378,0.024782161649583356
0.5555555555555556,0.9,0.6444444444444444,"{3: 33.5, 2: 17.0, 1: 9.5}",7.49078953532732,0.3268365607313659,0.9670567706755835,0.0421944185548096
0.5555555555555556,0.9,0.6888888888888889,"{3: 33.5, 2: 18.5, 1: 8.0}",7.2825816578786,0.1311443509062764,0.9401772492786472,0.016930662900306315
0.5555555555555556,0.9,0.7333333333333333,"{3: 37.0, 2: 17.0, 1: 6.0}",7.097341229260685,0.41024752405345,0.9162628127759302,0.052962727616061245
0.5555555555555556,0.9,0.7777777777777778,"{3: 35.0, 2: 17.5, 1: 7.5}",7.103880210908558,0.12028833025319274,0.9171069916767094,0.015529156660457122
0.5555555555555556,0.9,0.8222222222222222,"{3: 34.0, 2: 19.5, 1: 6.5}",7.399597955141446,0.023096224796785414,0.9552839882964426,0.0029817097999404463
0.5555555555555556,0.9,0.8666666666666667,"{3: 33.5, 2: 18.0, 1: 8.5}",7.251948716467679,0.2837072676594574,0.9362225535476523,0.03662645076143628
0.5555555555555556,0.9,0.9111111111111111,"{3: 35.5, 2: 15.0, 1: 9.5}",7.471223607184976,0.11778525798019412,0.9645308202139706,0.015206011419534537
0.5555555555555556,0.9,0.9555555555555555,"{3: 37.0, 2: 13.5, 1: 9.5}",6.9308837355668365,0.11150774586741985,0.8947732427450069,0.014395588090588163
0.5555555555555556,0.9,1.0,"{3: 35.5, 2: 18.0, 1: 6.5}",7.124725137314699,0.33431114240818616,0.9197980601041726,0.04315938289994936
0.5555555555555556,1.1,0.6,"{3: 36.5, 2: 15.0, 1: 8.5}",7.07811238763756,0.12209980059380854,0.9137803799968229,0.01576301647583561
0.5555555555555556,1.1,0.6444444444444444,"{3: 33.0, 2: 15.0, 1: 12.0}",7.543113479983521,0.2744593175313468,0.973811762884295,0.03543254553367858
0.5555555555555556,1.1,0.6888888888888889,"{2: 15.5, 3: 34.0, 1: 10.5}",7.575890991541744,0.1400916995280661,0.9780433214307989,0.018085760640469795
0.5555555555555556,1.1,0.7333333333333333,"{3: 33.0, 1: 9.5, 2: 17.5}",7.315227882367207,0.24708731280358887,0.9443918587373447,0.031898834918248076
0.5555555555555556,1.1,0.7777777777777778,"{3: 36.0, 2: 18.5, 1: 5.5}",6.979311197183746,0.10431624769065184,0.9010252011563865,0.013467169668158085
0.5555555555555556,1.1,0.8222222222222222,"{3: 31.5, 2: 15.5, 1: 13.0}",7.726190324587548,0.20852594143118264,0.9974468818918816,0.026920583280506394
