Diffusion Energy,Rotation Energy,Coupling Energy,Comparison File,Frequency Similarity Score,Normalized Similarity Score
0.8,1.35,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,42.16666666666666,0.4877766638389759
0.8,1.35,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,44.72666666666667,0.5173902984499115
0.8,1.6,0.3,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,51.126666666666665,0.59142438497725
0.8,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,52.806666666666665,0.6108583326906765
0.8,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,41.74,0.4828410580704868
0.8,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,41.50666666666666,0.4801418986658441
1.15,1.1,0.3,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,54.786666666666655,0.6337626282100718
1.15,1.1,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,56.28666666666666,0.6511143672399168
1.15,1.1,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,48.54666666666666,0.5615793938459166
1.15,1.1,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,54.04666666666666,0.6252024369553483
1.15,1.35,0.3,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,47.31999999999999,0.54738952726151
1.15,1.35,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,51.06,0.5906531965759236
1.15,1.35,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,54.42,0.6295210920027765
1.15,1.35,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,28.626666666666665,0.33114829952957514
1.15,1.6,0.3,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,45.50666666666666,0.5264132027454308
1.15,1.6,0.6,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,59.32666666666668,0.6862805583404029
1.15,1.6,0.8999999999999999,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,40.5,0.4684969538058149
1.15,1.6,1.2,C:\Users\User\Desktop\research-updates\NetworkQualityAnalysis\STM114_graph_metrics.csv,56.78666666666668,0.6568982802498654
