Diffusion Energy,Rotation Energy,Coupling Energy,Dehalogenation Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.0,0,0.0,0.0,"{2: 20.333333333333332, 3: 19.0, 1: 8.666666666666666}",7.209834799172366,0.1409737700011654,1.0406500155287244,0.020347811014712308
0.0,0,0.0,0.36,"{3: 21.0, 2: 17.333333333333332, 1: 9.666666666666666}",7.205754226359765,0.2851344089201166,1.0400610355757738,0.041155606936313496
0.0,0,0.0,0.72,"{3: 19.666666666666668, 2: 18.333333333333332, 1: 10.0}",7.285790209822674,0.29194137845132256,1.0516132347250655,0.0421381083591154
0.0,0,0.0,1.08,"{2: 17.333333333333332, 3: 21.333333333333332, 1: 9.333333333333334}",7.197111593129082,0.24631354854152346,1.038813578920213,0.035552298388875116
0.0,0,0.0,1.44,"{3: 20.666666666666668, 2: 16.666666666666668, 1: 10.666666666666666}",7.3335495862656765,0.3166568025438915,1.0585067069364895,0.045705472547360466
0.0,0,0.0,1.8,"{3: 18.666666666666668, 2: 18.666666666666668, 1: 10.666666666666666}",7.496890521118854,0.2149383320408006,1.0820829401132814,0.031023675965731343
0.0,0,0.36,0.0,"{3: 20.333333333333332, 2: 18.333333333333332, 1: 9.333333333333334}",7.614594902132885,0.239668529827479,1.0990721041290934,0.03459317255304424
0.0,0,0.36,0.36,"{3: 24.0, 2: 14.0, 1: 10.0}",6.992192166007643,0.39347379873124894,1.0092360073175266,0.05679305090413776
0.0,0,0.36,0.72,"{3: 22.0, 2: 18.666666666666668, 1: 7.333333333333333}",7.081736905223898,0.23456539324542833,1.0221606771402811,0.033856598233204596
0.0,0,0.36,1.08,"{3: 20.333333333333332, 2: 18.666666666666668, 1: 9.0}",7.307484528270208,0.32271053796518007,1.0547445398739574,0.0465792539911314
0.0,0,0.36,1.44,"{3: 23.0, 2: 17.666666666666668, 1: 7.333333333333333}",7.096274468699202,0.48001833305930247,1.0242589936867383,0.06928467845193599
0.0,0,0.36,1.8,"{3: 23.0, 2: 17.0, 1: 8.0}",6.944525064986856,0.17510209062046184,1.0023558539160664,0.025273809788847513
0.0,0,0.72,0.0,"{3: 23.666666666666668, 2: 16.0, 1: 8.333333333333334}",6.842658349222237,0.28980573487656985,0.9876526599740248,0.04182985476092122
0.0,0,0.72,0.36,"{3: 21.666666666666668, 2: 17.333333333333332, 1: 9.0}",6.9278186270950854,0.16746101171535852,0.9999444873125629,0.024170915048157326
0.0,0,0.72,0.72,"{3: 19.666666666666668, 2: 18.0, 1: 10.333333333333334}",7.169635772738218,0.2943290662429072,1.0348477858454952,0.042482741406418424
0.0,0,0.72,1.08,"{3: 24.666666666666668, 2: 14.0, 1: 9.333333333333334}",7.259587135892755,0.6622579471796828,1.0478311467783066,0.09558870101928969
0.0,0,0.72,1.44,"{3: 22.0, 2: 17.666666666666668, 1: 8.333333333333334}",7.225226869572103,0.2947800778960858,1.0428716695258926,0.04254783933126095
0.0,0,0.72,1.8,"{3: 19.666666666666668, 2: 18.0, 1: 10.333333333333334}",7.2505986086737915,0.3519132905217117,1.046533764625935,0.05079430825352927
0.0,0,1.08,0.0,"{3: 19.0, 2: 21.333333333333332, 1: 7.666666666666667}",7.618463256868844,0.2702262632850204,1.0996304530411252,0.03900380146242828
0.0,0,1.08,0.36,"{3: 23.333333333333332, 1: 8.333333333333334, 2: 16.333333333333332}",6.884936508061192,0.3590254586601811,0.9937549865706531,0.051820861300846136
0.0,0,1.08,0.72,"{3: 22.333333333333332, 2: 16.666666666666668, 1: 9.0}",6.989021032914846,0.16992455186270009,1.0087782936813359,0.024526496439964136
0.0,0,1.08,1.08,"{3: 23.0, 2: 16.0, 1: 9.0}",6.989686993660995,0.3960587534721101,1.0088744168353505,0.057166156983007574
0.0,0,1.08,1.44,"{2: 18.666666666666668, 3: 19.333333333333332, 1: 10.0}",7.179945611223542,0.2450935223269151,1.0363358828516962,0.035376202773019526
0.0,0,1.08,1.8,"{3: 22.333333333333332, 2: 16.0, 1: 9.666666666666666}",7.144925418321954,0.19119877175484537,1.0312811534019948,0.02759716558534646
0.0,0,1.44,0.0,"{3: 22.666666666666668, 2: 17.333333333333332, 1: 8.0}",6.932586517442252,0.19948420162113162,1.0006326730064137,0.0287930643762595
0.0,0,1.44,0.36,"{3: 23.666666666666668, 2: 15.333333333333334, 1: 9.0}",7.018561740643499,0.18495026908488982,1.013042127571133,0.026695271910713702
0.0,0,1.44,0.72,"{3: 21.666666666666668, 2: 16.666666666666668, 1: 9.666666666666666}",6.946733498356178,0.3145491321237952,1.0026746138161327,0.04540125652625905
0.0,0,1.44,1.08,"{3: 20.666666666666668, 2: 18.666666666666668, 1: 8.666666666666666}",7.282640875792002,0.1821126640067883,1.0511586675124713,0.02628569889678973
0.0,0,1.44,1.44,"{3: 19.666666666666668, 2: 17.333333333333332, 1: 11.0}",7.658929769754383,0.43875045059349665,1.105471291068033,0.06332817268930623
0.0,0,1.44,1.8,"{3: 23.0, 2: 16.666666666666668, 1: 8.333333333333334}",6.979248035051616,0.34905409806545834,1.0073676829445546,0.05038161936995857
0.0,0,1.8,0.0,"{3: 21.666666666666668, 2: 16.666666666666668, 1: 9.666666666666666}",7.099772878946116,0.33772533324363485,1.0247639457111861,0.048746453015092214
0.0,0,1.8,0.36,"{3: 22.0, 2: 17.333333333333332, 1: 8.666666666666666}",7.146458631419672,0.23546516562343578,1.031502453650668,0.0339864691893676
