Diffusion Energy,Rotation Energy,Coupling Energy,Dehalogenation Energy,Averaged Neighbour Frequency,Average Radius,Standard Dev Radius,Average Radius of Gyration,Standard Dev ROG
0.0,0,0.0,0.0,"{3: 21.333333333333332, 2: 17.333333333333332, 1: 9.333333333333334}",6.945005994188322,0.2347044633847328,1.0024252700670482,0.03387667127879559
0.0,0,0.0,0.45,"{3: 20.333333333333332, 2: 18.0, 1: 9.666666666666666}",7.715116966605012,0.3645968180766883,1.113581214374713,0.05262501776556418
0.0,0,0.0,0.9,"{3: 22.666666666666668, 2: 17.666666666666668, 1: 7.666666666666667}",6.839888461857259,0.10518896444408321,0.987252861170076,0.01518271923439236
0.0,0,0.0,1.35,"{3: 22.333333333333332, 2: 18.0, 1: 7.666666666666667}",6.706833617491341,0.254605183588686,0.9680480486171644,0.0367490928205005
0.0,0,0.0,1.8,"{3: 21.333333333333332, 2: 16.333333333333332, 1: 10.333333333333334}",7.118616913167883,0.16685185002411193,1.0274838477688248,0.024082990131551987
0.0,0,0.45,0.0,"{2: 16.666666666666668, 3: 24.0, 1: 7.333333333333333}",6.990106434084761,0.03548608726034206,1.008934957845743,0.0051219755080612805
0.0,0,0.45,0.45,"{2: 16.0, 3: 21.0, 1: 11.0}",7.367051117793664,0.1855483715517316,1.0633422364979763,0.026781600565772286
0.0,0,0.45,0.9,"{2: 16.666666666666668, 3: 22.666666666666668, 1: 8.666666666666666}",6.978451218231924,0.13232197102761734,1.0072526723432185,0.01909903139812417
0.0,0,0.45,1.35,"{3: 22.333333333333332, 2: 17.0, 1: 8.666666666666666}",7.258609256025669,0.43594857389285624,1.0476900019771824,0.06292375662246846
0.0,0,0.45,1.8,"{3: 23.333333333333332, 2: 18.0, 1: 6.666666666666667}",6.791186494240951,0.12504677078492582,0.9802233376417412,0.018048946693492537
0.0,0,0.9,0.0,"{3: 21.666666666666668, 2: 16.666666666666668, 1: 9.666666666666666}",7.23038467866449,0.46105042145776404,1.0436161351428723,0.0665468962346576
0.0,0,0.9,0.45,"{3: 24.0, 2: 14.0, 1: 10.0}",6.92970964101337,0.041155020238259475,1.0002174316612535,0.005940215503265918
0.0,0,0.9,0.9,"{3: 19.666666666666668, 2: 20.0, 1: 8.333333333333334}",7.465786702691876,0.3348800541237374,1.0775934906278708,0.04833577234864405
0.0,0,0.9,1.35,"{3: 20.333333333333332, 2: 18.666666666666668, 1: 9.0}",7.062357768439782,0.31798114695297686,1.019363539680538,0.0458966251976318
0.0,0,0.9,1.8,"{3: 21.333333333333332, 2: 14.666666666666666, 1: 12.0}",7.226484411789696,0.4204694684971998,1.043053180110354,0.06068954020571933
0.0,0,1.35,0.0,"{3: 21.666666666666668, 2: 19.333333333333332, 1: 7.0}",7.044218671482604,0.16733054723976779,1.0167453865527674,0.024152084123131842
0.0,0,1.35,0.45,"{3: 22.0, 2: 17.333333333333332, 1: 8.666666666666666}",7.062682323352941,0.07996597279659874,1.019410385147158,0.011542093980031597
